leds[0][0].brightness, 0x00,
leds[6][11].vx, 0x00000000,
leds[6][11].vy, 0x00000000,
leds[6][11].rx, 0x00000000,
leds[6][11].ry, 0x00000000,
leds[6][12].brightness, 0x28,
leds[6][12].vx, 0x00000000,
leds[6][12].vy, 0x00000000,
leds[6][12].rx, 0x00000000,
leds[6][12].ry, 0x00000000,
leds[6][13].brightness, 0x28,
leds[6][13].vx, 0x00000000,
leds[6][13].vy, 0x00000000,
leds[6][13].rx, 0x00000000,
leds[6][13].ry, 0x00000000,
leds[6][14].brightness, 0x28,
leds[6][14].vx, 0x00000000,
leds[6][14].vy, 0x00000000,
leds[6][14].rx, 0x00000000,
leds[6][14].ry, 0x00000000,
leds[6][15].brightness, 0x00,
leds[6][15].vx, 0x00000000,
leds[6][15].vy, 0x00000000,
leds[6][15].rx, 0x00000000,
leds[6][15].ry, 0x00000000,
leds[7][0].brightness, 0x00,
leds[7][0].vx, 0x00000000,
leds[7][0].vy, 0x00000000,
leds[7][0].rx, 0x00000000,
leds[7][0].ry, 0x00000000,
leds[7][1].brightness, 0x28,
leds[7][1].vx, 0x00000000,
leds[7][1].vy, 0x00000000,
leds[7][1].rx, 0x00000000,
leds[7][1].ry, 0x00000000,
leds[7][2].brightness, 0x00,
leds[7][2].vx, 0x00000000,
leds[7][2].vy, 0x00000000,
leds[7][2].rx, 0x00000000,
leds[7][2].ry, 0x00000000,
leds[7][3].brightness, 0x00,
leds[7][3].vx, 0x00000000,
leds[7][3].vy, 0x00000000,
leds[7][3].rx, 0x00000000,
leds[7][3].ry, 0x00000000,
leds[7][4].brightness, 0x00,
leds[7][4].vx, 0x00000000,
leds[7][4].vy, 0x00000000,
leds[7][4].rx, 0x00000000,
leds[7][4].ry, 0x00000000,
leds[7][5].brightness, 0x00,
leds[7][5].vx, 0x00000000,
leds[7][5].vy, 0x00000000,
leds[7][5].rx, 0x00000000,
leds[7][5].ry, 0x00000000,
leds[7][6].brightness, 0x00,
leds[7][6].vx, 0x00000000,
leds[7][6].vy, 0x00000000,
leds[7][6].rx, 0x00000000,
leds[7][6].ry, 0x00000000,
leds[7][7].brightness, 0x00,
leds[7][7].vx, 0x00000000,
leds[7][7].vy, 0x00000000,
leds[7][7].rx, 0x00000000,
leds[7][7].ry, 0x00000000,
leds[7][8].brightness, 0x00,
leds[7][8].vx, 0x00000000,
leds[7][8].vy, 0x00000000,
leds[7][8].rx, 0x00000000,
leds[7][8].ry, 0x00000000,
leds[7][9].brightness, 0x00,
leds[7][9].vx, 0x00000000,
leds[7][9].vy, 0x00000000,
leds[7][9].rx, 0x00000000,
leds[7][9].ry, 0x00000000,
leds[7][10].brightness, 0x00,
leds[7][10].vx, 0x00000000,
leds[7][10].vy, 0x00000000,
leds[7][10].rx, 0x00000000,
leds[7][10].ry, 0x00000000,
leds[7][11].brightness, 0x00,
leds[7][11].vx, 0x00000000,
leds[7][11].vy, 0x00000000,
leds[7][11].rx, 0x00000000,
leds[7][11].ry, 0x00000000,
leds[7][12].brightness, 0x00,
leds[7][12].vx, 0x00000000,
leds[7][12].vy, 0x00000000,
leds[7][12].rx, 0x00000000,
leds[7][12].ry, 0x00000000,
leds[7][13].brightness, 0x00,
leds[7][13].vx, 0x00000000,
leds[7][13].vy, 0x00000000,
leds[7][13].rx, 0x00000000,
leds[7][13].ry, 0x00000000,
leds[7][14].brightness, 0x00,
leds[7][14].vx, 0x00000000,
leds[7][14].vy, 0x00000000,
leds[7][14].rx, 0x00000000,
leds[7][14].ry, 0x00000000,
leds[7][15].brightness, 0x00,
leds[7][15].vx, 0x00000000,
leds[7][15].vy, 0x00000000,
leds[7][15].rx, 0x00000000,
leds[7][15].ry, 0x00000000,
leds[8][0].brightness, 0x00,
leds[8][0].vx, 0x00000000,
leds[8][0].vy, 0x00000000,
leds[8][0].rx, 0x00000000,
leds[8][0].ry, 0x00000000,
leds[8][1].brightness, 0x00,
leds[8][1].vx, 0x00000000,
leds[8][1].vy, 0x00000000,
leds[8][1].rx, 0x00000000,
leds[8][1].ry, 0x00000000,
leds[8][2].brightness, 0x00,
leds[8][2].vx, 0x00000000,
leds[8][2].vy, 0x00000000,
leds[8][2].rx, 0x00000000,
leds[8][2].ry, 0x00000000,
leds[8][3].brightness, 0x00,
leds[8][3].vx, 0x00000000,
leds[8][3].vy, 0x00000000,
leds[8][3].rx, 0x00000000,
leds[8][3].ry, 0x00000000,
leds[8][4].brightness, 0x00,
leds[8][4].vx, 0x00000000,
leds[8][4].vy, 0x00000000,
leds[8][4].rx, 0x00000000,
leds[8][4].ry, 0x00000000,
leds[8][5].brightness, 0x00,
leds[8][5].vx, 0x00000000,
leds[8][5].vy, 0x00000000,
leds[8][5].rx, 0x00000000,
leds[8][5].ry, 0x00000000,
leds[8][6].brightness, 0x00,
leds[8][6].vx, 0x00000000,
leds[8][6].vy, 0x00000000,
leds[8][6].rx, 0x00000000,
leds[8][6].ry, 0x00000000,
leds[8][7].brightness, 0x00,
leds[8][7].vx, 0x00000000,
leds[8][7].vy, 0x00000000,
leds[8][7].rx, 0x00000000,
leds[8][7].ry, 0x00000000,
leds[8][8].brightness, 0x00,
leds[8][8].vx, 0x00000000,
leds[8][8].vy, 0x00000000,
leds[8][8].rx, 0x00000000,
leds[8][8].ry, 0x00000000,
leds[8][9].brightness, 0x00,
leds[8][9].vx, 0x00000000,
leds[8][9].vy, 0x00000000,
leds[8][9].rx, 0x00000000,
leds[8][9].ry, 0x00000000,
leds[8][10].brightness, 0x00,
leds[8][10].vx, 0x00000000,
leds[8][10].vy, 0x00000000,
leds[8][10].rx, 0x00000000,
leds[8][10].ry, 0x00000000,
leds[8][11].brightness, 0x00,
leds[8][11].vx, 0x00000000,
leds[8][11].vy, 0x00000000,
leds[8][11].rx, 0x00000000,
leds[8][11].ry, 0x00000000,
leds[8][12].brightness, 0x00,
leds[8][12].vx, 0x00000000,
leds[8][12].vy, 0x00000000,
leds[8][12].rx, 0x00000000,
leds[8][12].ry, 0x00000000,
leds[8][13].brightness, 0x00,
leds[8][13].vx, 0x00000000,
leds[8][13].vy, 0x00000000,
leds[8][13].rx, 0x00000000,
leds[8][13].ry, 0x00000000,
leds[8][14].brightness, 0x00,
leds[8][14].vx, 0x00000000,
leds[8][14].vy, 0x00000000,
leds[8][14].rx, 0x00000000,
leds[8][14].ry, 0x00000000,
leds[8][15].brightness, 0x00,
leds[8][15].vx, 0x00000000,
leds[8][15].vy, 0x00000000,
leds[8][15].rx, 0x00000000,
leds[8][15].ry, 0x00000000,
